lmt_yn,nemo_yn,eng100,year,tutorial_yn,mooc_yn,isu_nm,courgrad_cd,cour_cd,rowid,enable,cour_div,term,credit,department,flexible_school_yn,attend_free_yn,flexible_term,flipped_class_yn,absolute_yn,time_room,campus,flexible_to_dt,flexible_fr_dt,prof_nm,waiting_yn,params,cour_nm,dept_cd,cour_cls,drop_lmt_yn,time,apply_dept,exch_cor_yn,no_supervisor_yn,col_cd
Y,N,N,2026,N,N,전공필수,136,DCSS321,32,N,11,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(4) 과학기술2관 315호<br> 화(6-7) 과학기술2관 310호,세종,,,이종욱,N,DCSS321@02,전산선형대수학,7428,2,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS327,33,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,월(6-7) 과학기술2관 315호<br> 목(9) 과학기술2관 315호,세종,,,조현중,N,DCSS327@00,딥러닝입문,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS329,34,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,화(5) 과학기술2관 315호<br> 목(5-6) 과학기술2관 323호,세종,,,조현중,N,DCSS329@00,시계열분석및응용,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS403,35,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,Y,목(7-9) 과학기술2관 323호,세종,,,채희찬,N,DCSS403@00,소프트웨어응용,7428,0,N,3(3),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS405,36,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,Y,목(1) 과학기술2관 315호<br> 금(2-3) 과학기술2관 315호,세종,,,조병진,N,DCSS405@00,ICT응용기술(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS409,37,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,N,화(8-9) 과학기술2관 315호<br> 수(7) 과학기술2관 315호,세종,,,한창희,N,DCSS409@00,컴퓨터비전(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS411,38,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,N,N,월(5) 과학기술2관 315호<br> 수(8-9) 과학기술2관 315호,세종,,,서민석,N,DCSS411@00,데이터마이닝(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공선택,136,DCSS433,39,N,10,1R,3,컴퓨터소프트웨어학과,N,N,0,Y,N,월(2-3) 과학기술2관 324호<br> 화(3) 과학기술2관 324호,세종,,,한창희,N,DCSS433@00,인간컴퓨터상호작용(영강),7428,0,N,3(3),컴퓨터소프트웨어학과,N,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS451,40,N,11,1R,1,컴퓨터소프트웨어학과,N,N,0,N,N,화(10-11) 과학기술2관 310호,세종,,,"서민석,정용화 김명섭,조현중 조민호,한창희 강신후,조병진 이웅기",N,DCSS451@00,캡스톤디자인I,7428,0,N,1(2),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,전공필수,136,DCSS452,41,N,11,1R,1,컴퓨터소프트웨어학과,N,N,0,N,N,화(12-13) 과학기술2관 310호,세종,,,"서민석,정용화 김명섭,조현중 조민호,한창희 강신후,조병진 이웅기",N,DCSS452@00,캡스톤디자인II,7428,0,N,1(2),컴퓨터소프트웨어학과,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC012,42,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,월(8) 공공정책관 419호<br> 화(6-7) 공공정책관 419호,세종,,,김랑혜윤,N,GSFC012@00,미국문화탐방,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC015,43,N,01,1R,3,세종교양교육센터,N,N,0,Y,N,월(5-7) 석원경상관 221호,세종,,,안정오,N,GSFC015@00,인간과기호,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC020,44,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,화(6-8) 석원경상관 112호,세종,,,김상훈,N,GSFC020@00,한국문화재산책,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC020,45,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,화(2-4) 석원경상관 112호,세종,,,김상훈,N,GSFC020@01,한국문화재산책,7155,01,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC021,46,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,월(1-3) 문화스포츠관 316호,세종,,,박규진,N,GSFC021@00,한국전통문화의이해,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC022,47,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,월(6) 석원경상관 423호<br> 화(7-8) 석원경상관 423호,세종,,,이희진,N,GSFC022@00,고고학에의초대,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC024,48,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,수(7-9) 석원경상관 112호,세종,,,박성희,N,GSFC024@00,인류문명의기원,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC034,49,N,01,1R,3,세종교양교육센터,N,N,0,Y,Y,월(2-3) 문화스포츠관 208호<br> 수(4) 문화스포츠관 208호,세종,,,홍종열,N,GSFC034@00,유럽의도시문화탐방,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC036,50,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,수(4-5) 문화스포츠관 213호<br> 금(2) 문화스포츠관 213호,세종,,,김광훈,N,GSFC036@00,글로벌문화예술콘텐츠와도시브랜드,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC037,51,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,수(8-9) 공공정책관 226호<br> 목(2) 공공정책관 418호,세종,,,유경철,N,GSFC037@00,현대중국의인물과캐릭터,7155,00,N,3(3),,Y,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC038,52,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,화(7-8) 농심국제관 411호<br> 목(3) 농심국제관 521호,세종,,,David B.H. Farr,N,GSFC038@00,권력과신념:종교와통치의세계적인융합(영강),7155,00,N,3(3),,N,N,9999
Y,N,N,2026,N,N,교양,0136,GSFC038,53,N,01,1R,3,세종교양교육센터,N,N,0,N,Y,월(1-2) 과학기술1관 116호<br> 화(6) 농심국제관 409호,세종,,,David B.H. Farr,N,GSFC038@01,권력과신념:종교와통치의세계적인융합(영강),7155,01,N,3(3),,N,N,9999
